activiteitnaam;activiteit_postcode;hotelid;percentage_korting
Sportimonium;1981;220078;20
Toerisme Tongeren;3700;229433;20
Cafetaria De Lenspolder (kinderboerderij);8620;220694;20
Rozentuin Coloma;1600;224765;20
Gentbrugse Meersen;9050;212009;20
Restaurant Caroline;8301;379090;20
Het land aan de overkant;3001;211837;20
De Karper;9870;220660;20
Bistro De Markt;8370;228812;20
NAVIGO-Nationaal Visserijmuseum;8670;228715;20
Belle Epoque Centrum;8370;227142;20
Restaurant Aazaert;8370;227142;20
Provinciedomein Raversyde;8400;385838;20
Paul Delvauxmuseum;8670;220969;20
Brasserie Carrousel (Hotel Cosmopolite);8620;345862;20
Coxyde Military Cemetery;8670;224724;20
Sint-Carolus Borromeuskerk;2000;211105;20
Restaurant Brasserie Tearoom Beach;8300;227292;20
Belgische Militaire Begraafplaats Adinkerke;8660;229381;20
Belevingscentrum '14 - '18;3150;229076;20
Dodengang;8600;224599;20
Herisemmolen;1652;222225;20
Zwembad Hoge Blekker;8670;227150;20
Strandrolstoel en tandems;8670;228269;20
Abdijmuseum Ten Duinen ;8670;357397;20
Sealife Center Belgium;8370;261132;20
Vayamundo De Kinkhoorn & Ravelingen;8400;223202;20
Floris;8200;211702;20
Belevingscentrum '14 - '18;3150;229350;20
Resto North Sea (North Sea Bowl);8670;379090;20
Brasserie Flo Antwerp (Hilton Antwerp Old Town);2000;383402;20
Serpentarium;8370;222952;20
Brouwerijbezoek Dilewyns;9200;219903;20
Brasserie Flo Antwerp (Hilton Antwerp Old Town);2000;211052;20
Zwembad Ter Polder;8450;229373;20
Yorkshire trench en dug-out;8904;226610;20
Heemkundig Museum Turkeyenhof;8450;228098;20
Brasserie Entourage;8400;220560;20
Rolstoelfietsen (Bocholt);3950;222999;20
De Cellekens;2800;211050;20
Begijnhuisje;8000;211583;20
Huisbrouwerij De Halve Maan;8000;211598;20
Polymnia;1850;225657;20
Gandante ;9000;211350;20
Taverne Passage (Grand Bazar Antwerp);2000;384084;20
Sealife Center Belgium;8370;225484;20
Basiliek van het Heilig Bloed;8000;211554;20
Toerisme - VVV Balen vzw;2490;219338;20
Restaurant Bistreau;8450;223464;20
Restaurant De Kombuis;8380;228565;20
Bezoekerscentrum Doornpanne;8670;224209;20
Restaurant Brasserie Tearoom Beach;8300;220403;20
Tearoom Aan Zee;8660;220429;20
Vladslo Duits Militair Kerkhof (Praatbos);8600;220415;20
Fort Napoleon;8400;228705;20
Strandbuggy en -rolstoel;8400;227937;20
Glacier Vincent;8370;228679;20
Verhuur handbikes To Walk Again;2200;346146;20
Openluchtmuseum Bokrijk;3600;227276;20
Domein Pietersheim (excl. verblijfscentrum);3620;225262;20
Resto North Sea (North Sea Bowl);8670;227200;20
Bistro De Markt;8370;221616;20
Fietsencentrum Mobiel (Handbike);8500;222655;20
Fluisterboten - Maascentrum De Wissen;3650;229402;20
Stadsbrouwerij De Koninck;2018;384265;20
Sel Gris;8301;229371;20
Restaurant Venitien;8370;229385;20
Restaurant Caroline;8301;220631;20
Bistro Vaudeville;8400;325233;20
Toerisme en Evenementen Heusden-Zolder;3550;226831;20
Toerisme Middelkerke;8430;228812;20
Restaurant Blue Lobster;8380;228525;20
Toerisme Middelkerke;8430;223485;20
Sportimonium;1981;221868;20
Middelheimmuseum;2020;211051;20
Strandrolstoel;8660;227146;20
Museum In Flanders Fields (IFF);8900;385202;20
Dodengang;8600;221423;20
Wombats lenen bij Dienst Toerisme;2920;219184;20
Brasserie Cinq Annoo;8301;225145;20
Strandrolstoel en tandems;8670;228565;20
Restaurant Venitien;8370;229390;20
Zuivelmuseum;8370;225718;20
Glacier Vincent;8370;226767;20
Provinciedomein Raversyde;8400;220385;20
Restaurant Zeepaardje;8370;221323;20
Rubenshuis;2000;378472;20
Belgische Militaire Begraafplaats Oeren;8690;221188;20
Toerisme De Haan - Centrum;8420;221314;20
Strandrolstoel;8370;224810;20
Strandjutter;8430;227906;20
Rolstoelfietsen (Bocholt);3950;228191;20
Strandrolstoel en tandems;8670;276418;20
Tearoom M due;8450;220689;20
Strandrolstoel en tandems;8670;219719;20
Sint-Baafskathedraal;9000;211143;20
Hopmuseum;8970;221955;20
AfricaMuseum;3080;229471;20
Tearoom Riviera;8430;221323;20
Chocolate Nation;2018;211987;20
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;380418;20
Toeristisch bezoekerscentrum De Warandepoort;3080;223831;20
Glacier Vincent;8370;228705;20
het MOT;1850;227199;20
Tearoom - Eetcafé De Bretoen;8000;211554;20
Stadhuis Brugge;8000;211579;20
Domein Pietersheim (excl. verblijfscentrum);3620;240747;20
Bistro Tearoom De Kippe;8650;222897;20
Archeologiemuseum;8000;211594;20
Maagdenhuismuseum;2000;211337;20
Heemkundig Museum Turkeyenhof;8450;223963;20
Restaurant De Kombuis;8380;221343;20
De Karper;9870;224552;20
Toerisme Middelkerke;8430;219837;20
Zwin Natuur Park;8300;227292;20
Brasserie Carrousel (Hotel Cosmopolite);8620;229394;20
Toerisme De Haan - Centrum;8420;219729;20
Dienst Toerisme Veurne;8630;222897;20
Kasteel van Gaasbeek;1750;382258;20
Restaurant Comilfo;8620;223257;20
Rozentuin Coloma;1600;314500;20
Brouwerij De Kroon;3040;275408;20
Potyze Burial Ground;8900;222707;20
Domein Bokrijk;3600;227597;20
Westfront;8620;226240;20
Restaurant - Tearoom De Markt;8620;229392;20
Belgische Militaire Begraafplaats Steenkerke;8630;229396;20
Visit Antwerpen - Centraal Station;2018;298528;20
Hotel Dennenhof - restaurant;2930;219188;20
Brouwerij De Kroon;3040;382258;20
Tearoom M due;8450;228492;20
Brasserie Carrousel (Hotel Cosmopolite);8620;227603;20
Ravelingen - Den Ensor;8400;227288;20
Bistro De Markt;8370;227993;20
Brasserie Carrousel (Hotel Cosmopolite);8620;228812;20
Stadhuis Brugge;8000;211556;20
Vladslo Duits Militair Kerkhof (Praatbos);8600;225545;20
Restaurant De Mirage;8660;225058;20
Taverne Seastar Terminal;8620;229394;20
Hostellerie De Kemmelberg;8956;229470;20
Sint-Janshospitaal (Memlingmuseum);8000;211574;20
Toerisme Oostende;8400;222890;20
Bistro De Markt;8370;381218;20
Visit Antwerpen;2000;211991;20
Zuivelmuseum;8370;219717;20
Brouwerijbezoek De Kroon;3040;229359;20
Nationaal Park Hoge Kempen;3600;221890;20
NAVIGO-Nationaal Visserijmuseum;8670;220631;20
Greenhouse Bistro (Radisson Blu Hotel);3500;221471;20
Onze-Lieve-Vrouwekathedraal;2000;211114;20
Bistro De Markt;8370;220385;20
Amu;2300;219555;20
The Jane;2018;251038;20
Taverne Seastar Terminal;8620;220363;20
HET STADSMUS;3500;379593;20
Sealife Center Belgium;8370;222952;20
Charles Dresse Monument;8920;229396;20
Belfort Brugge;8000;211579;20
Belle Epoque Centrum;8370;221596;20
(elektrische) Strandjutter;8670;221898;20
(elektrische) Strandjutter;8670;226767;20
Belgische Militaire Begraafplaats Adinkerke;8660;345862;20
Menenpoort;8900;219920;20
Toerisme Middelkerke;8430;226383;20
Belgische Militaire Begraafplaats Westvleteren;8640;229555;20
Bike Corner - verhuur tandems en elektrische fietsen;9800;228599;20
Restaurant Blue Lobster;8380;226617;20
Brasserie Entourage;8400;221421;20
Bistro De Markt;8370;227447;20
Zwin Natuur Park;8300;229554;20
FOMU – Fotomuseum Antwerpen;2000;211217;20
Taverne Passage (Grand Bazar Antwerp);2000;356976;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;223257;20
Bezoekerscentrum De Lieteberg;3690;220102;20
Ravelingen - De Wandelaar;8400;220740;20
Zwin Natuur Park;8300;224166;20
Toeristisch infopunt Vilvoorde;1800;221326;20
Groeningemuseum;8000;211555;20
Guynemer Monument;8920;226363;20
Toeristisch infopunt Vilvoorde;1800;229076;20
Toerisme Hasselt;3500;220329;20
Greenhouse Bistro (Radisson Blu Hotel);3500;228886;20
Sint-Carolus Borromeuskerk;2000;387237;20
Ecocentrum De Goren;2400;219555;20
Stadhuis Leuven;3000;211838;20
Carcasse;8670;226125;20
Bezoekerscentrum en stoeterij brouwerij Palm;1840;277008;20
Duinpanne;8660;220740;20
Bistro Moby Dick;8400;261132;20
Strandrolstoel en tandems;8670;228812;20
Infopunt Visit Blankenberge;8370;220930;20
Tearoom M due;8450;228305;20
strandbuggy's;8400;224287;20
HET STADSMUS;3500;380742;20
Onze-Lieve-Vrouwekerk;8000;211702;20
Brasserie Marcel;8370;225595;20
Strandrolstoel;8660;220740;20
Opsinjoorke;2800;211185;20
Bezoekerscentrum De Lieteberg;3690;229090;20
MoMu - Modemuseum Antwerpen;2000;210832;20
Begijnhof Brugge;8000;211558;20
Fietsencentrum Mobiel (Handbike);8500;225949;20
Restaurant De Mirage;8660;220689;20
Arentshuis;8000;211605;20
Toerisme De Haan - Centrum;8420;226357;20
Bike Corner - verhuur tandems en elektrische fietsen;9800;226500;20
Nautisch Bezoekerscentrum Rupelstreek;2850;229329;20
Westfront;8620;224847;20
Historium Brugge;8000;211600;20
Eet-praatcafé De Smidse;8430;223838;20
Tearoom M due;8450;229392;20
Begijnhuisje;8000;211545;20
Onze-Lieve-Vrouwekerk;8000;211593;20
Taverne On the Beach (Casino Middelkerke);8430;381218;20
Vinobelga;3202;212477;20
Domeinbos Heverleebos + Meerdaalwoud;3050;261131;20
Wombats lenen bij Dienst Toerisme;2920;219319;20
Nationaal Tabaksmuseum;8940;229118;20
Restaurant-Taverne Tijdok;8380;223257;20
Restaurant Aazaert;8370;227603;20
Sint-Baafskathedraal;9000;211342;20
Toerisme Tongeren;3700;221040;20
The Bluff;8902;226873;20
Toeristisch infopunt Vilvoorde;1800;226473;20
Les Zéphyrs;8434;227150;20
Snijders&Rockoxhuis;2000;314586;20
Rolstoelfietsen (Bocholt);3950;227966;20
De Karper;9870;220135;20
Restaurant Comilfo;8620;227146;20
Het Lijsternest: Streuvelshuis & schrijversresidentie;8570;228614;20
Marktplein Brugge;8000;211576;20
Connecterra;3630;228484;20
Caterpillar;8902;227211;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;222890;20
Zuivelmuseum;8370;228098;20
Poelcapelle British Cemetery;8920;224193;20
Taverne Seastar Terminal;8620;224810;20
Westfront;8620;229392;20
Wielingenbad;8420;325233;20
Tearoom - Eetcafé De Bretoen;8000;211539;20
Infopunt Visit Blankenberge;8370;224209;20
Infopunt Visit Blankenberge;8370;222520;20
Spoorfietsen;2950;219010;20
Brasserie Stadspark;2300;219510;20
Strandrolstoel;8660;324928;20
Charles Dresse Monument;8920;220048;20
Vlaamse Ardennenroute (120 km);9000;297658;20
Belle Epoque Centrum;8370;229278;20
Resto North Sea (North Sea Bowl);8670;228857;20
Toerisme Ieper;8900;226363;20
Kattevennen-Cosmodrome vzw;3600;261635;20
Begijnhof Brugge;8000;211591;20
Dodencellen en executiepaal;8970;229384;20
Bezoekersonthaal Kattevennen - Cosmodrome;3600;220142;20
Restaurant Zeepaardje;8370;226357;20
Les Zéphyrs;8434;229101;20
Begijnhuisje;8000;211565;20
Glacier Vincent;8370;229140;20
VVV Toerisme Essen vzw;2910;346146;20
Wombat bij Corsendonk De Linde;2470;211326;20
Minnewater;8000;211545;20
Toerisme De Panne;8660;225484;20
Toerisme Middelkerke;8430;229629;20
Strandjutter;8300;228857;20
FOMU – Fotomuseum Antwerpen;2000;211425;20
Brasserie Cinq Annoo;8301;228492;20
Strandjutter;8300;325233;20
Restaurant De Kombuis;8380;227200;20
In Flanders Fields Museum;8900;221408;20
Heemkundig Museum Turkeyenhof;8450;228426;20
Restaurant De Mirage;8660;229377;20
Tyne Cot Cemetery + bezoekerscentrum;8980;226931;20
Brasserie Marcel;8370;222136;20
Restaurant De Kombuis;8380;223963;20
Visit Antwerpen;2000;211412;20
Toerisme Ieper;8900;221188;20
Restaurant Aazaert;8370;225077;20
Toerisme Knokke-Heist;8300;228098;20
Iers Vredespark;8957;325282;20
Sint-Janshospitaal (Memlingmuseum);8000;211597;20
Mijnmuseum Beringen;3582;224779;20
Rubenshuis;2000;211217;20
Onze-Lieve-Vrouwekathedraal;2000;211065;20
Het Huis van Alijn;9000;324846;20
Kantcentrum;8000;211586;20
Brasserie Marcel;8370;219922;20
Provinciale Erfgoedsite Ename (Pam Ename);9700;229367;20
Taverne Den Bolhoed;2000;346429;20
VVV Toerisme Essen vzw;2910;219182;20
Maritiem Themapark Seafront;8380;212267;20
Restaurant De Mirage;8660;223464;20
Toerisme en Evenementen Heusden-Zolder;3550;227597;20
Sealife Center Belgium;8370;228098;20
Toerisme Knokke-Heist;8300;229629;20
Restaurant Aazaert;8370;228074;20
Archeologiemuseum;8000;211676;20
Brasserie De Groene Hendrickx;3500;229400;20
Chocolate Nation;2018;211054;20
Tearoom Riviera;8430;225254;20
Strandjutter;8300;219885;20
Toeristisch infopunt Vilvoorde;1800;220573;20
Restaurant Maria van Bourgondië;8000;212267;20
Restaurant Caroline;8301;224724;20
Visit Antwerpen - Centraal Station;2018;211862;20
Toerisme Oostende;8400;228426;20
Arboretum Kalmthout EVAp vzw;2920;219242;20
Stadhuis van Antwerpen;2000;211039;20
Taverne Den Bolhoed;2000;211052;20
Belle Epoque Centrum;8370;228366;20
Visit Lier;2500;218973;20
Recreatiedomein Grasduinen;8450;324928;20
Groeningemuseum;8000;261644;20
Restaurant Venitien;8370;227993;20
Belevingscentrum '14 - '18;3150;346162;20
Coxyde Military Cemetery;8670;240756;20
Toerisme De Haan - Centrum;8420;229140;20
Fietsparadijs Limburg;3500;228584;20
Restaurant - Tearoom De Markt;8620;227206;20
Greenhouse Bistro (Radisson Blu Hotel);3500;223463;20
Belle Epoque Centrum;8370;225823;20
Brasserie Marcel;8370;219885;20
Nautisch Bezoekerscentrum Rupelstreek;2850;224448;20
Groentemuseum 't Grom;2860;219025;20
(elektrische) Strandjutter;8670;227603;20
Toerisme Wetteren - verhuur tandem;9230;226416;20
Brasserie Carrousel (Hotel Cosmopolite);8620;221314;20
Frietmuseum;8000;378826;20
Sint-Martinuskerk;9300;220976;20
Fietsencentrum Mobiel (Handbike);8500;228555;20
Coxyde Military Cemetery;8670;314734;20
MOU - Museum Oudenaarde en de Vlaamse Ardennen;9700;223691;20
Wielingenbad;8420;224209;20
Restaurant Brasserie Tearoom Beach;8300;229376;20
Restaurant Comilfo;8620;230285;20
Pakawi Park;2491;219557;20
Toerisme De Haan - Infokantoor Vosseslag;8420;221410;20
Vinto;9770;229367;20
Site Oud Sint-Jan;8000;211596;20
Brouwerij Gruut;9000;211401;20
Basiliek van het Heilig Bloed;8000;211836;20
Toerisme Sint-Katelijne-Waver;2860;219598;20
Serpentarium;8370;228820;20
Westfront;8620;345862;20
Arboretum Kalmthout EVAp vzw;2920;219188;20
Brasserie Flo Antwerp (Hilton Antwerp Old Town);2000;324993;20
Strandrolstoel;8370;221421;20
Sint-Pieterskerk;3000;211839;20
Stedelijk zwembad;8620;378812;20
De Wereld van Kina: de Tuin;9000;357141;20
Restaurant De Kombuis;8380;228267;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;221195;20
Cozmix;8200;211536;20
Sint-Janshospitaal;8000;211589;20
‘t Schipke;2800;211115;20
Paul Delvauxmuseum;8670;225823;20
Infopunt Visit Blankenberge;8370;228269;20
Kasteel van Gaasbeek;1750;227008;20
Toerisme De Haan - Infokantoor Vosseslag;8420;229394;20
Cafetaria De Lenspolder (kinderboerderij);8620;228759;20
Toerisme Herentals;2200;302245;20
Bistro Moby Dick;8400;221898;20
(elektrische) Strandjutter;8670;221781;20
Taverne Seastar Terminal;8620;378812;20
Infopunt Visit Blankenberge;8370;223085;20
Taverne On the Beach (Casino Middelkerke);8430;219922;20
Bezoekerscentrum “Duvel Depot”;2870;220976;20
Provinciaal Domein Sterrebos;8800;224552;20
Infopunt Visit Blankenberge;8370;228997;20
Fort van Duffel;2570;219510;20
Zuivelmuseum;8370;220059;20
Charles Dresse Monument;8920;385202;20
Ecocentrum De Goren;2400;219557;20
Toerisme Oostende;8400;357397;20
Tearoom Aan Zee;8660;223464;20
Sint-Janshospitaal;8000;211613;20
Gezellehuis;8000;211569;20
Museum De Mindere;3800;222541;20
Tearoom - Eetcafé De Bretoen;8000;211560;20
Restaurant Aazaert;8370;220930;20
Pakawi Park;2491;219325;20
Belgische Militaire Begraafplaats Oeren;8690;385202;20
NAVIGO-Nationaal Visserijmuseum;8670;223838;20
Paul Delvauxmuseum;8670;228436;20
Restaurant-Taverne Tijdok;8380;221410;20
Dodengang;8600;219847;20
Toeristisch infopunt Vilvoorde;1800;229359;20
HET STADSMUS;3500;219985;20
Zwin Natuur Park;8300;220589;20
Grand Café au Lilas Blanc;8301;224724;20
Glacier Vincent;8370;219719;20
Brasserie Marcel;8370;219729;20
Infokantoor Toerisme  Aalst;9300;227662;20
Abdijmuseum Ten Duinen ;8670;226937;20
Toerisme De Panne;8660;224166;20
Belevingscentrum '14 - '18;3150;220078;20
Provinciedomein Raversyde;8400;345862;20
Het Broek Blaasveld;2830;227662;20
Snijders&Rockoxhuis;2000;211055;20
Verhuur handbikes To Walk Again;2200;219188;20
Artillery Wood Cemetery;8904;222400;20
Sint-Niklaaskerk;8957;226610;20
Talbot House;8970;226363;20
The Jane;2018;211413;20
Brasserie Carrousel (Hotel Cosmopolite);8620;228679;20
Basiliek van het Heilig Bloed;8000;211547;20
Onze-Lieve-Vrouwekerk;8000;211575;20
Taverne Seastar Terminal;8620;219719;20
Restaurant Bistreau;8450;223202;20
Restaurant De Kombuis;8380;230285;20
Arentshuis;8000;211733;20
VZW Werkplus Maatwerk / Veloods Fietsenverhuur;8790;226500;20
De Hooipiete;8647;225008;20
Sint-Jan-Baptist-en-Sint-Jan-Evangelistkerk ;2800;211050;20
Wielingenbad;8420;228185;20
Eet-praatcafé De Smidse;8430;222223;20
Zwembad Hoge Blekker;8670;226693;20
Infokantoor Markt (Historium);8000;211577;20
Wombats lenen bij Dienst Toerisme;2920;219182;20
Kelderman;9300;224448;20
Tearoom M due;8450;263795;20
Paul Delvauxmuseum;8670;219837;20
Middelheimmuseum;2020;382980;20
Middelheimmuseum;2020;211116;20
Belevingscentrum '14 - '18;3150;229359;20
Dienst Toerisme Koksijde-Oostduinkerke;8670;224209;20
DvT Koekelare;8680;224406;20
Cozmix;8200;211552;20
Restaurant Comilfo;8620;226383;20
Onze-Lieve-Vrouwekerk;8000;211565;20
Toerisme De Haan - Infokantoor Vosseslag;8420;229554;20
Toeristisch infopunt Vilvoorde;1800;227559;20
Stedelijk zwembad;8620;228525;20
Heemkundig Museum Turkeyenhof;8450;222117;20
Belgische Militaire Begraafplaats Adinkerke;8660;229376;20
Strandrolstoel;8370;226937;20
Restaurant Zeepaardje;8370;229368;20
Toerisme Brugge (Zeedijk);8380;211579;20
Bistro ’t Verschil;8830;220048;20
Strandjutter;8430;225058;20
Rolstoelfietsen (Bocholt);3950;384594;20
Duinpanne;8660;221898;20
Sint-Janskerk;8970;227874;20
Sel Gris;8301;226383;20
Bistro De Markt;8370;221606;20
Stadhuis Brugge;8000;211567;20
De Vroente, Vlaams Kennis- en Vormingscentrum voor Natuur en Milieu;2920;230462;20
Vayamundo De Kinkhoorn & Ravelingen;8400;228705;20
Zwin Natuur Park;8300;228525;20
Vayamundo De Kinkhoorn & Ravelingen;8400;227374;20
Brasserie Carrousel (Hotel Cosmopolite);8620;212541;20
Rubenshuis;2000;211123;20
Restaurant Zeepaardje;8370;357397;20
Floris;8200;211546;20
Archeologiemuseum;8000;211609;20
Strandjutter;8300;220354;20
Sint-Janshospitaal (Memlingmuseum);8000;211565;20
HET STADSMUS;3500;222457;20
De bibliotheektoren van Leuven;3000;210766;20
Historium Brugge;8000;211570;20
Bakkerijmuseum Walter Plaetinck-Zuidgasthuishoeve;8630;222372;20
Fietsparadijs Limburg;3500;229606;20
Gallo-Romeins Museum (GRM);3700;277006;20
Zuivelmuseum;8370;219794;20
Restaurant Brasserie Tearoom Beach;8300;224166;20
Restaurant Maria van Bourgondië;8000;211607;20
Bistro Vaudeville;8400;230285;20
Tearoom Aan Zee;8660;219794;20
Kajak Maasland;3620;228045;20
Restaurant-Taverne Tijdok;8380;229140;20
Wandelen met de Joëlette (draagrolstoel);2460;219291;20
Restaurant-Taverne Tijdok;8380;229305;20
Hidrodoe;2200;302245;20
Provinciaal Domein Sterrebos;8800;220948;20
Provinciedomein Raversyde;8400;240756;20
Rolstoelfietsen (Hamont-Achel);3930;227276;20
Ravelingen - De Wandelaar;8400;229101;20
Cafetaria De Lenspolder (kinderboerderij);8620;228525;20
Arentshuis;8000;211701;20
Coxyde Military Cemetery;8670;229395;20
De Vlaamse-Ardennenkoets;9772;223384;20
STUK Kunstencentrum (STUKcafé);3000;211327;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;228366;20
Toerisme De Haan - Centrum;8420;228208;20
Talbot House;8970;385202;20
Kunstencentrum Vooruit - TEMPORARY CLOSED until April 3rd due to the COVID-19-virus!;9000;210818;20
Toerisme De Haan - Infokantoor Vosseslag;8420;227146;20
Innesto;3530;324868;20
Stadhuis van Antwerpen;2000;357215;20
Toerisme Wuustwezel;2990;211783;20
Brasserie Carrousel (Hotel Cosmopolite);8620;219621;20
Strandrolstoel;8370;229395;20
Strandbuggy en -rolstoel;8400;226357;20
Kattevennen-Cosmodrome vzw;3600;229051;20
Toerisme Brasschaat;2930;219185;20
Toerisme Brasschaat;2930;219010;20
Openluchtmuseum Bokrijk;3600;229090;20
Paul Delvauxmuseum;8670;223883;20
Toerisme Sint-Katelijne-Waver;2860;219242;20
Zoethout;3830;226843;20
Modemuseum Hasselt;3500;221040;20
Restaurant Comilfo;8620;229385;20
M Leuven;3000;325371;20
Tafel 10;8755;226691;20
VVV Toerisme Essen vzw;2910;219567;20
NAVIGO-Nationaal Visserijmuseum;8670;229385;20
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;225947;20
Toerisme Malle;2390;219419;20
Brasserie Entourage;8400;226125;20
Bijenteeltmuseum;2920;219098;20
Cozmix;8200;211562;20
Verhuur aangepaste fietsen en rolstoelen – Provinciaal Domein Puyenbroeck;9185;264769;20
Strandrolstoel en tandems;8670;226937;20
Tearoom Aan Zee;8660;228128;20
Frietmuseum;8000;211616;20
Les Zéphyrs;8434;221314;20
Middelheimmuseum;2020;382461;20
Restaurant 	Verdi;8000;211600;20
Duinpanne;8660;226271;20
NAVIGO-Nationaal Visserijmuseum;8670;221314;20
Sint-Janshospitaal (Memlingmuseum);8000;211558;20
Strandrolstoel en tandems;8670;225058;20
Ravelingen - De Wandelaar;8400;219837;20
Toerisme De Haan - Centrum;8420;220403;20
Zuivelmuseum;8370;220104;20
Provinciaal Groendomein Hertberg;2230;219599;20
Menenpoort;8900;229384;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;220365;20
het MOT;1850;222610;20
Restaurant De Kombuis;8380;229463;20
Taverne Den Bolhoed;2000;211116;20
Restaurant-Taverne Tijdok;8380;229385;20
Toerisme De Haan - Infokantoor Vosseslag;8420;229463;20
Carcasse;8670;227142;20
Grand Café au Lilas Blanc;8301;220104;20
Fort Napoleon;8400;220403;20
Restaurant Maria van Bourgondië;8000;211613;20
STUK Kunstencentrum (STUKcafé);3000;211839;20
Amu;2300;219252;20
Museum Dr. Guislain;9000;210762;20
Chocolate Nation;2018;298528;20
Tearoom M due;8450;229360;20
Brasserie Carrousel (Hotel Cosmopolite);8620;226693;20
Bistro De Markt;8370;227288;20
Taverne Seastar Terminal;8620;220631;20
Sel Gris;8301;219885;20
strandbuggy's;8400;229380;20
Visit Lier;2500;219510;20
Wandelen met de Joëlette (draagrolstoel);2460;211057;20
Taverne On the Beach (Casino Middelkerke);8430;357397;20
strandbuggy's;8400;229394;20
Plattelandscentrum Meetjesland;9980;227986;20
Vrij Vaderland Belevingscentrum;8630;224193;20
Restaurant Bistreau;8450;220740;20
Belgische Militaire Begraafplaats Oeren;8690;226931;20
Strandrolstoel;8370;314734;20
Provinciaal Domein Sterrebos;8800;224590;20
La Belle;2440;219185;20
Arentshuis;8000;211566;20
Huisbrouwerij De Halve Maan;8000;211561;20
Tafel 10;8755;223582;20
Begijnhof Lier;2500;219163;20
STAM;9000;211468;20
Tearoom Riviera;8430;225595;20
Markt;8000;211586;20
Fort Napoleon;8400;229377;20
Zwin Natuur Park;8300;227135;20
Zuivelmuseum;8370;227633;20
Groentemuseum 't Grom;2860;219338;20
Frans Ossuarium Kemmelberg - Heuvelland;8956;221408;20
Brasserie Cinq Annoo;8301;220694;20
Brouwerij De Kroon;3040;229471;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;227146;20
Toerisme Wuustwezel;2990;219184;20
Herisemmolen;1652;227930;20
Openluchtmuseum Bokrijk;3600;212310;20
(elektrische) Strandjutter;8670;223963;20
Het Huis van Alijn;9000;210762;20
Herisemmolen;1652;226833;20
Restaurant Comilfo;8620;220740;20
Hotel Dennenhof - restaurant;2930;219477;20
Tearoom - Eetcafé De Bretoen;8000;211570;20
NAVIGO-Nationaal Visserijmuseum;8670;222520;20
Openluchtmuseum Bokrijk;3600;225800;20
Kelderman;9300;357284;20
Gallo-Romeins Museum (GRM);3700;229433;20
Bistro Moby Dick;8400;224724;20
Hopmuseum;8970;227211;20
Gruuthusemuseum;8000;211577;20
Restaurant De Kombuis;8380;228074;20
Cafetaria De Lenspolder (kinderboerderij);8620;228583;20
strandbuggy's;8400;219717;20
Nautisch Bezoekerscentrum Rupelstreek;2850;227692;20
Brouwerij Timmermans;1701;314500;20
Kortrijk 1302;8500;222305;20
Bezoekerscentrum Doornpanne;8670;225512;20
Glacier Vincent;8370;225512;20
strandbuggy's;8400;224724;20
Belevingscentrum '14 - '18;3150;225711;20
Brouwerij Omer Vander Ghinste;8510;225949;20
Toerisme Diest;3290;212442;20
Bezoekerscentrum Doornpanne;8670;220059;20
Kasteel Wijnendale;8820;229389;20
La Belle;2440;219338;20
Infopunt Visit Blankenberge;8370;250914;20
Visit Antwerpen;2000;275410;20
Wombats lenen bij Dienst Toerisme;2920;219177;20
Dodencellen en executiepaal;8970;219847;20
Kemmelberg - Monument aux Soldats Français (Den Engel);8950;223152;20
AfricaMuseum;3080;229358;20
Restaurant - Tearoom De Markt;8620;220560;20
Provinciaal Groendomein Prinsenpark;2470;219319;20
Fort van Duffel;2570;219325;20
Toerisme Tongeren;3700;223634;20
Minnewater;8000;211565;20
Brouwerijbezoek De Kroon;3040;226833;20
Sealife Center Belgium;8370;222040;20
Toerisme De Haan - Infokantoor Vosseslag;8420;263795;20
Visit Lier;2500;219460;20
Toerisme Wetteren - verhuur tandem;9230;223181;20
FOMU – Fotomuseum Antwerpen;2000;211337;20
Carcasse;8670;228812;20
Suske en Wiske Museum;2920;219098;20
Groeningemuseum;8000;211612;20
Restaurant Venitien;8370;229554;20
Toerisme Knokke-Heist;8300;220969;20
In Flanders Fields Museum;8900;220048;20
Zuivelmuseum;8370;226507;20
MoMu - Modemuseum Antwerpen;2000;211447;20
Strandjutter;8430;223085;20
Provinciedomein Raversyde;8400;220354;20
Toerisme De Panne;8660;227292;20
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;211876;20
Eet-praatcafé De Smidse;8430;219885;20
Provinciedomein Raversyde;8400;314734;20
Sint-Antoniuskapel - Damiaancrypte;3000;211323;20
Vayamundo De Kinkhoorn & Ravelingen;8400;345862;20
Restaurant Belvedere;8400;226271;20
Duinpanne;8660;219811;20
Tyne Cot Cemetery & Memorial;8980;225008;20
Basiliek van het Heilig Bloed;8000;212246;20
Bistro Vaudeville;8400;228820;20
Restaurant Blue Lobster;8380;221781;20
strandbuggy's;8400;224878;20
Toerisme Zonnebeke;8980;223692;20
Iers Vredespark;8957;219920;20
Hidrodoe;2200;380235;20
Rozentuin Coloma;1600;229198;20
